site::filter,page_name::filter,page_url,content_id,id_count,row_num,,,,,
oyster,hotel.detail,https://www.oyster.com/palm-beach/hotels/the-breakers/,25341,108,1,,,,,
oyster,hotel.detail,https://www.oyster.com/hotel/pocono-palace-resort/,13881,108,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/the-cosmopolitan-of-las-vegas/,106883,107,1,,,,,
oyster,hotel.detail,https://www.oyster.com/bavaro/hotels/hard-rock-hotel-and-casino-punta-cana/,51919,104,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/royalton-negril/,106844,104,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/hotel-riu-reggae/,10395,104,1,,,,,
oyster,hotel.detail,https://www.oyster.com/punta-cana/hotels/zoetry-agua-punta-cana/,18448,103,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/sandos-playacar-beach-resort/,107695,103,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/hard-rock-hotel-riviera-maya/,73003,103,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/the-fives-beach-hotel-and-residences/,97719,102,1,,,,,
oyster,hotel.detail,https://www.oyster.com/wisconsin-dells/hotels/mt-olympus-resort/,93005,102,1,,,,,
oyster,hotel.detail,https://www.oyster.com/tokyo/hotels/hotel-gracery-shinjuku/,103028,101,1,,,,,
oyster,hotel.detail,https://www.oyster.com/dominican-republic/hotels/iberostar-bavaro-suites/,54762,101,1,,,,,
oyster,hotel.detail,https://www.oyster.com/punta-cana/hotels/grand-bavaro-princess/,67787,100,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/royalton-riviera-cancun-resort-and-spa/,91585,100,1,,,,,
oyster,hotel.detail,https://www.oyster.com/florida-keys/hotels/cheeca-lodge-and-spa/,43824,99,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/bellagio-las-vegas/,56338,99,1,,,,,
oyster,hotel.detail,https://www.oyster.com/big-sur/hotels/ventana-big-sur-an-alila-resort/photos/japanese-hot-baths/,19892,98,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/mgm-grand-hotel-and-casino/photos/producers-pool/,22729,98,1,,,,,
oyster,hotel.detail,https://www.oyster.com/rendezvous-bay/hotels/aurora-anguilla/,100741,97,1,,,,,
oyster,hotel.detail,https://www.oyster.com/puerto-vallarta/hotels/velas-vallarta/,109142,97,1,,,,,
oyster,hotel.detail,https://www.oyster.com/costa-rica/hotels/tulemar-resort/,107742,96,1,,,,,
oyster,hotel.detail,https://www.oyster.com/oahu/hotels/prince-waikiki/,107383,95,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/grand-bahia-principe-jamaica/,107628,95,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/the-standard-high-line/,12303,95,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-mujeres/hotels/secrets-playa-mujeres-golf-and-spa-resort/,12398,94,1,,,,,
oyster,hotel.detail,https://www.oyster.com/pink-gin-beach/hotels/sandals-grenada-resort-and-spa/,113634,94,1,,,,,
oyster,hotel.detail,https://www.oyster.com/hawaii/hotels/turtle-bay-resort/,80539,93,1,,,,,
oyster,hotel.detail,https://www.oyster.com/nevada/hotels/silver-legacy-resort-and-casino/photos/pool/,100307,93,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/royal-hideaway-playacar/,23815,92,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/riu-playacar-all-inclusive/,90042,92,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/the-venetian-resort-las-vegas/photos/tao-beach-club/#,107516,91,1,,,,,
oyster,hotel.detail,https://www.oyster.com/turks-and-caicos/hotels/grace-bay-club/,102429,91,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/catalonia-royal-tulum/,64712,91,1,,,,,
oyster,hotel.detail,https://www.oyster.com/costa-rica/hotels/dreams-las-mareas-costa-rica/,107958,90,1,,,,,
oyster,hotel.detail,https://www.oyster.com/palm-coast/hotels/hammock-beach-resort/,113723,90,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/sandals-montego-bay/,8888,89,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/hotel-riu-yucatan/,85746,89,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/iberostar-tucan-hotel/,53719,88,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/signature-at-mgm-grand/,108171,88,1,,,,,
oyster,hotel.detail,https://www.oyster.com/grand-canyon/hotels/yavapai-lodge/,8761,88,1,,,,,
oyster,hotel.detail,https://www.oyster.com/puerto-morelos/hotels/desire-riviera-maya-resort/,107503,87,1,,,,,
oyster,hotel.detail,https://www.oyster.com/puerto-rico/hotels/caribe-hilton/,102477,87,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/catalonia-playa-maroma/,111339,87,1,,,,,
oyster,hotel.detail,https://www.oyster.com/kissimmee/hotels/cypress-cove-nudist-resort/,110908,87,1,,,,,
oyster,hotel.detail,https://www.oyster.com/colorado-springs/hotels/the-broadmoor/,99910,87,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/hyatt-zilara-rose-hall/,9343,86,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-nayarit/hotels/iberostar-playa-mita/,114955,86,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/hotel-riu-palace-jamaica/,113261,86,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/grand-bahia-principe-coba/,114382,85,1,,,,,
oyster,hotel.detail,https://www.oyster.com/marco-island/hotels/jw-marriott-marco-island-beach-resort/,111843,85,1,,,,,
oyster,hotel.detail,https://www.oyster.com/aruba/hotels/marriotts-aruba-surf-club/,97601,85,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/luxury-bahia-principe-sian-kaan-don-pablo-collection/,114407,84,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/iberostar-paraiso-maya/,112384,84,1,,,,,
oyster,hotel.detail,https://www.oyster.com/orlando/hotels/marriotts-grande-vista/,108101,83,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/bellagio-las-vegas/photos/amenities/,56338,83,1,,,,,
oyster,hotel.detail,https://www.oyster.com/boston/hotels/omni-parker-house/,97115,82,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/hotel-beacon/,8120,82,1,,,,,
oyster,hotel.detail,https://www.oyster.com/dominican-republic/hotels/grand-bahia-principe-aquamarine/,80390,82,1,,,,,
oyster,hotel.detail,https://www.oyster.com/niagara-falls/hotels/travelodge-hotel-niagara-falls-fallsview/photos/heart-shaped-jacuzzi/,73754,82,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/grand-sirenis-riviera-maya-resort-and-spa/,114428,82,1,,,,,
oyster,hotel.detail,https://www.oyster.com/walland/hotels/blackberry-farm/,88373,82,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/el-dorado-royale/,8606,81,1,,,,,
oyster,hotel.detail,https://www.oyster.com/dominican-republic/hotels/chic-by-royalton-luxury-resorts/,9364,81,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/goldeneye/,105859,80,1,,,,,
oyster,hotel.detail,https://www.oyster.com/cayman-islands/hotels/morritts-tortuga-club-and-resort/,85802,79,1,,,,,
oyster,hotel.detail,https://www.oyster.com/connecticut/hotels/the-fox-tower/,23362,78,1,,,,,
oyster,hotel.detail,https://www.oyster.com/turks-and-caicos/hotels/blue-haven-resort/,13462,78,1,,,,,
oyster,hotel.detail,https://www.oyster.com/cancun/hotels/hotel-riu-caribe/,93572,78,1,,,,,
oyster,hotel.detail,https://www.oyster.com/aruba/hotels/renaissance-aruba-resort-and-casino/,93372,77,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/breathless-riviera-cancun-resort-and-spa/,30856,77,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/the-kimberly-hotel/,19567,77,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/hugo-hotel/,112842,76,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/marriotts-grand-chateau/,105243,76,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/rosewood-mayakoba/,88028,76,1,,,,,
oyster,hotel.detail,https://www.oyster.com/panama-city/hotels/the-summit-condominiums/photos/restaurants-and-bars/,108530,76,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/new-york-new-york-hotel-and-casino/,8265,75,1,,,,,
oyster,hotel.detail,https://www.oyster.com/turks-and-caicos/hotels/the-shore-club/,26976,75,1,,,,,
oyster,hotel.detail,https://www.oyster.com/turks-and-caicos/hotels/seven-stars-resort/,8429,75,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/hotel-riu-montego-bay/,33255,75,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/warwick-new-york-hotel/,92963,75,1,,,,,
oyster,hotel.detail,https://www.oyster.com/miami/hotels/the-standard-miami/,44841,74,1,,,,,
oyster,hotel.detail,https://www.oyster.com/turks-and-caicos/hotels/ocean-club-west/,104438,74,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/sunset-at-the-palms/,80681,74,1,,,,,
oyster,hotel.detail,https://www.oyster.com/antigua/hotels/st-jamess-club-and-villas/,90748,74,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/circus-circus-hotel-and-casino-las-vegas/,8809,73,1,,,,,
oyster,hotel.detail,https://www.oyster.com/tokyo/hotels/keio-plaza-hotel-tokyo/,87956,73,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/akumal-bay-beach-and-wellness-resort/,114498,73,1,,,,,
oyster,hotel.detail,https://www.oyster.com/boston/hotels/sheraton-boston-hotel/photos/amenities/,100204,73,1,,,,,
oyster,hotel.detail,https://www.oyster.com/hawaii/hotels/sheraton-princess-kaiulani/,100052,72,1,,,,,
oyster,hotel.detail,https://www.oyster.com/curacao/hotels/avila-beach-hotel/,107913,72,1,,,,,
oyster,hotel.detail,https://www.oyster.com/st-lucia/hotels/sandals-grande-st-lucian-spa-and-beach-resort/,108480,72,1,,,,,
oyster,hotel.detail,https://www.oyster.com/the-strip/hotels/paris-las-vegas/photos/pool/,89351,71,1,,,,,
oyster,hotel.detail,https://www.oyster.com/los-cabos/hotels/me-cabo-by-melia/,18004,71,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/tuscany-suites-and-casino/,105025,71,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/iberostar-paraiso-lindo/,112339,71,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/mandalay-bay-resort-and-casino/,8197,71,1,,,,,
oyster,hotel.detail,https://www.oyster.com/san-diego/hotels/hilton-san-diego-bayfront/photos/amenities/,44859,71,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/the-marlton-hotel/,65443,71,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/now-jade-riviera-cancun/,22025,70,1,,,,,
oyster,hotel.detail,https://www.oyster.com/bahamas/hotels/warwick-paradise-island-bahamas-all-inclusive/,106921,70,1,,,,,
